# step,loss,accuracy
1.000000000000000000e+00,1.652893900871276855e+00,0.000000000000000000e+00
1.000000000000000000e+01,3.618533313274383545e-01,1.000000000000000000e+00
2.000000000000000000e+01,1.646084040403366089e-01,1.000000000000000000e+00
3.000000000000000000e+01,7.975032925605773926e-02,1.000000000000000000e+00
4.000000000000000000e+01,4.460062831640243530e-02,1.000000000000000000e+00
5.000000000000000000e+01,2.885635010898113251e-02,1.000000000000000000e+00
6.000000000000000000e+01,2.081011980772018433e-02,1.000000000000000000e+00
7.000000000000000000e+01,1.610285602509975433e-02,1.000000000000000000e+00
8.000000000000000000e+01,1.300966925919055939e-02,1.000000000000000000e+00
9.000000000000000000e+01,1.079033501446247101e-02,1.000000000000000000e+00
1.000000000000000000e+02,9.096961468458175659e-03,1.000000000000000000e+00
1.100000000000000000e+02,7.751858793199062347e-03,1.000000000000000000e+00
1.200000000000000000e+02,6.655312608927488327e-03,1.000000000000000000e+00
1.300000000000000000e+02,5.745799746364355087e-03,1.000000000000000000e+00
1.400000000000000000e+02,4.982436075806617737e-03,1.000000000000000000e+00
1.500000000000000000e+02,4.335884470492601395e-03,1.000000000000000000e+00
1.600000000000000000e+02,3.784638363867998123e-03,1.000000000000000000e+00
1.700000000000000000e+02,3.312103450298309326e-03,1.000000000000000000e+00
1.800000000000000000e+02,2.904841210693120956e-03,1.000000000000000000e+00
1.900000000000000000e+02,2.552705351263284683e-03,1.000000000000000000e+00
2.000000000000000000e+02,2.247072057798504829e-03,1.000000000000000000e+00
2.100000000000000000e+02,1.980963861569762230e-03,1.000000000000000000e+00
2.200000000000000000e+02,1.748700975440442562e-03,1.000000000000000000e+00
2.300000000000000000e+02,1.545545528642833233e-03,1.000000000000000000e+00
2.400000000000000000e+02,1.367468037642538548e-03,1.000000000000000000e+00
2.500000000000000000e+02,1.211147871799767017e-03,1.000000000000000000e+00
2.600000000000000000e+02,1.073737512342631817e-03,1.000000000000000000e+00
2.700000000000000000e+02,9.526243666186928749e-04,1.000000000000000000e+00
2.800000000000000000e+02,8.459088858217000961e-04,1.000000000000000000e+00
2.900000000000000000e+02,7.516896002925932407e-04,1.000000000000000000e+00
3.000000000000000000e+02,6.684214458800852299e-04,1.000000000000000000e+00
3.100000000000000000e+02,5.947966128587722778e-04,1.000000000000000000e+00
3.200000000000000000e+02,5.296258023008704185e-04,1.000000000000000000e+00
3.300000000000000000e+02,4.718382551800459623e-04,1.000000000000000000e+00
3.400000000000000000e+02,4.207202873658388853e-04,1.000000000000000000e+00
3.500000000000000000e+02,3.753196215257048607e-04,1.000000000000000000e+00
3.600000000000000000e+02,3.349220205564051867e-04,1.000000000000000000e+00
3.700000000000000000e+02,2.991705550812184811e-04,1.000000000000000000e+00
3.800000000000000000e+02,2.673506969586014748e-04,1.000000000000000000e+00
3.900000000000000000e+02,2.389860601397231221e-04,1.000000000000000000e+00
4.000000000000000000e+02,2.138386043952777982e-04,1.000000000000000000e+00
4.100000000000000000e+02,1.913126034196466208e-04,1.000000000000000000e+00
4.200000000000000000e+02,1.712890807539224625e-04,1.000000000000000000e+00
4.300000000000000000e+02,1.534105831524357200e-04,1.000000000000000000e+00
4.400000000000000000e+02,1.375580613967031240e-04,1.000000000000000000e+00
4.500000000000000000e+02,1.232548092957586050e-04,1.000000000000000000e+00
4.600000000000000000e+02,1.106201016227714717e-04,1.000000000000000000e+00
4.700000000000000000e+02,9.917721035890281200e-05,1.000000000000000000e+00
4.800000000000000000e+02,8.904537389753386378e-05,1.000000000000000000e+00
4.900000000000000000e+02,7.998623186722397804e-05,1.000000000000000000e+00
5.000000000000000000e+02,7.188061863416805863e-05,1.000000000000000000e+00
